ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 4%,Total,Date,Time,Payment,cogs,gross margin %,gross income,Rating
64,Branch 1,Chennai,Subscriber,Men,Men Footwear,28.03,9,10.09,275.01,27-06-21,12:27,COD,252.3,5,12.62,8.5
65,Branch 2,Bangalore,Subscriber,Men,Men Footwear,21.87,3,2.62,71.5,28-06-21,14:35,COD,65.6,5,3.28,7.5
66,Branch 1,Pune,Subscriber,Women,Bags,32.44,9,11.68,318.24,29-06-21,16:40,Prepaid,291.96,5,14.6,5.7
67,Branch 3,Kolkata,Non-Subscriber,Men,Men Footwear,32.99,1,1.32,35.96,30-06-21,15:43,COD,32.99,5,1.65,6.6
68,Branch 2,Ranchi,Subscriber,Men,Men Footwear,32.11,5,6.42,175.02,01-07-21,15:01,COD,160.57,5,8.03,9.8
69,Branch 1,Gurgaon,Non-Subscriber,Men,Men Footwear,37.11,9,13.36,364.06,02-07-21,10:04,COD,334,5,16.7,6.3
70,Branch 4,Delhi,Subscriber,Men,Watches,38.45,1,1.54,41.91,03-07-21,18:50,Prepaid,38.45,5,1.92,4.2
71,Branch 3,Ghaziabad,Non-Subscriber,Men,Men Footwear,35.03,9,12.61,343.67,04-07-21,12:46,COD,315.3,5,15.76,9.5
72,Branch 4,Noida,Subscriber,Men,Watches,36.86,9,13.27,361.6,05-07-21,16:19,COD,331.74,5,16.59,5.8
73,Branch 2,Chennai,Subscriber,Men,Men Footwear,22.95,2,1.84,50.02,06-07-21,18:17,Prepaid,45.89,5,2.29,3.9
74,Branch 4,Chennai,Subscriber,Men,Sunglasses,38.94,5,7.79,212.23,07-07-21,18:21,COD,194.71,5,9.74,8.6
75,Branch 1,Chennai,Subscriber,Women,Women Footwear,55.13,8,17.64,480.73,08-07-21,10:55,COD,441.03,5,22.05,9.3
76,Branch 3,Bangalore,Subscriber,Unisex,Bags,41.88,9,15.08,410.85,09-07-21,17:04,Prepaid,376.93,5,18.85,5.3
77,Branch 3,Nagpur,Subscriber,Women,Watches,34.33,8,10.99,299.39,10-07-21,14:20,COD,274.67,5,13.73,8.5
78,Branch 1,Kolkata,Subscriber,Women,Bags,38.94,8,12.46,339.57,11-07-21,15:48,COD,311.53,5,15.58,5.6
79,Branch 3,Delhi,Subscriber,Men,Men Footwear,30.95,9,11.14,303.57,12-07-21,16:24,COD,278.51,5,13.93,6.5
80,Branch 3,Ghaziabad,Non-Subscriber,Men,Sports Equipment,29.19,4,4.67,127.28,13-07-21,18:56,COD,116.77,5,5.84,5.9
81,Branch 3,Delhi,Non-Subscriber,Men,Men Footwear,36.8,5,7.36,200.54,14-07-21,14:42,COD,183.98,5,9.2,5.4
82,Branch 4,Delhi,Subscriber,Men,Watches,28.03,2,2.24,61.11,15-07-21,19:56,COD,56.07,5,2.8,6.3
83,Branch 3,Delhi,Subscriber,Women,Women Footwear,32.1,7,8.99,244.95,16-07-21,18:37,COD,224.72,5,11.24,6.5
84,Branch 3,Hyderabad,Subscriber,Men,Men Footwear,24.52,3,2.94,80.18,17-07-21,18:45,Prepaid,73.56,5,3.68,8.2
85,Branch 3,Chennai,Subscriber,Unisex,Sunglasses,33.09,4,5.29,144.27,18-07-21,10:17,COD,132.36,5,6.62,6.5
86,Branch 3,Chennai,Non-Subscriber,Men,Men Footwear,63.86,6,15.33,417.67,19-07-21,14:31,COD,383.19,5,19.16,3.9
87,Branch 4,Bangalore,Subscriber,Men,Watches,24.52,4,3.92,106.91,20-07-21,10:23,COD,98.09,5,4.9,9.8
88,Branch 1,Gandhinagar,Subscriber,Men,Men Footwear,31.7,6,7.61,207.32,21-07-21,20:35,COD,190.2,5,9.51,7.2
89,Branch 1,Kolkata,Subscriber,Women,Sunglasses,31.7,1,1.27,34.55,22-07-21,16:57,COD,31.7,5,1.59,5.6
90,Branch 4,Delhi,Subscriber,Men,Watches,29.19,5,5.84,159.1,23-07-21,17:55,COD,145.97,5,7.3,6
91,Branch 3,Lucknow,Subscriber,Men,Men Footwear,32.1,3,3.85,104.98,24-07-21,10:25,COD,96.31,5,4.82,7
92,Branch 3,Raipur,Subscriber,Unisex,Sunglasses,38.29,9,13.78,375.63,25-07-21,19:54,COD,344.61,5,17.23,8.1
93,Branch 1,Ghaziabad,Subscriber,Women,Women Apparel,63.86,6,15.33,417.67,26-07-21,16:42,COD,383.19,5,19.16,5
94,Branch 4,Delhi,Subscriber,Men,Watches,48.33,8,15.47,421.45,27-07-21,12:09,COD,386.65,5,19.33,8.5
95,Branch 3,Bangalore,Subscriber,Unisex,Sunglasses,37.12,1,1.48,40.46,28-07-21,20:05,Prepaid,37.12,5,1.86,6.5
96,Branch 4,Hyderabad,Subscriber,Men,Watches,30.06,1,1.2,32.77,29-07-21,20:38,COD,30.06,5,1.5,7.1
97,Branch 2,Coimbatore,Non-Subscriber,Men,Men Footwear,23.36,9,8.41,229.2,30-07-21,10:25,COD,210.28,5,10.51,5
98,Branch 3,Salem,Subscriber,Women,Bags,35.34,5,7.07,192.62,31-07-21,13:11,COD,176.72,5,8.84,4
99,Branch 1,Navi Mumbai,Non-Subscriber,Men,Men Footwear,30.06,2,2.4,65.53,01-08-21,10:16,Prepaid,60.12,5,3.01,9.2
100,Branch 2,Kolkata,Non-Subscriber,Men,Men Footwear,33.09,5,6.62,180.34,02-08-21,18:14,Prepaid,165.45,5,8.27,7.3
101,Branch 3,Kanpur,Subscriber,Women,Women Footwear,24.68,1,0.99,26.9,03-08-21,19:20,COD,24.68,5,1.23,4
102,Branch 4,Delhi,Subscriber,Men,Watches,27.21,8,8.71,237.24,04-08-21,13:22,Prepaid,217.65,5,10.88,7.1
103,Branch 3,Delhi,Non-Subscriber,Men,Men Footwear,32.11,8,10.28,280.03,05-08-21,11:27,Prepaid,256.9,5,12.85,4.8
104,Branch 1,Delhi,Non-Subscriber,Men,Men Footwear,32.31,5,6.46,176.1,06-08-21,16:44,COD,161.56,5,8.08,9.8
105,Branch 2,Gurgaon,Non-Subscriber,Women,Jewellery,38.97,6,9.35,254.86,07-08-21,18:19,Prepaid,233.82,5,11.69,7.9
106,Branch 4,Hyderabad,Subscriber,Men,Watches,58.76,9,21.15,576.42,08-08-21,14:50,COD,528.83,5,26.44,7.2
107,Branch 3,Hyderabad,Subscriber,Women,Women Footwear,33.83,5,6.77,184.39,09-08-21,20:54,COD,169.17,5,8.46,7.8
108,Branch 1,Chennai,Subscriber,Unisex,Sunglasses,32.11,5,6.42,175.02,10-08-21,20:19,COD,160.57,5,8.03,7.3
109,Branch 3,Bangalore,Subscriber,Women,Women Footwear,55.13,8,17.64,480.73,11-08-21,10:43,COD,441.03,5,22.05,4.1
110,Branch 3,Ahmedabad,Subscriber,Men,Men Footwear,26.67,9,9.6,261.66,12-08-21,14:30,Prepaid,240.05,5,12,9.1
111,Branch 2,Kolkata,Subscriber,Men,Men Footwear,26.67,1,1.07,29.07,13-08-21,11:32,Prepaid,26.67,5,1.33,4.5
112,Branch 4,Ghaziabad,Subscriber,Men,Watches,24.3,2,1.94,52.96,14-08-21,10:41,COD,48.59,5,2.43,7.7
113,Branch 2,Delhi,Subscriber,Women,Women Footwear,24.12,6,5.79,157.74,15-08-21,12:44,COD,144.72,5,7.24,8.3
114,Branch 1,Noida,Subscriber,Women,Watches,33.83,8,10.83,295.02,16-08-21,20:07,Prepaid,270.66,5,13.53,4.2
115,Branch 3,Ghaziabad,Subscriber,Men,Men Footwear,24.92,8,7.98,217.33,17-08-21,20:31,COD,199.39,5,9.97,9.4
116,Branch 3,Delhi,Subscriber,Women,Bags,33.57,2,2.69,73.18,18-08-21,13:01,Prepaid,67.13,5,3.36,7
117,Branch 4,Bangalore,Subscriber,Men,Watches,55.13,4,8.82,240.36,19-08-21,12:29,Prepaid,220.52,5,11.03,5.2
118,Branch 4,Chennai,Subscriber,Men,Watches,36.86,1,1.47,40.18,20-08-21,15:26,COD,36.86,5,1.84,5.1
119,Branch 1,Bangalore,Non-Subscriber,Men,Men Footwear,24.68,9,8.88,242.08,21-08-21,20:48,Prepaid,222.1,5,11.1,5.9
120,Branch 4,Cochin,Subscriber,Men,Watches,24.92,1,1,27.17,22-08-21,20:38,COD,24.92,5,1.25,4
121,Branch 1,Pune,Subscriber,Women,Bags,33.21,7,9.3,253.4,23-08-21,17:03,COD,232.48,5,11.62,5.1
122,Branch 3,Kolkata,Subscriber,Unisex,Sports Equipment,33.21,6,7.97,217.2,24-08-21,12:02,COD,199.27,5,9.96,6.4
123,Branch 2,Delhi,Subscriber,Women,Jewellery,30.48,8,9.75,265.74,25-08-21,17:26,Prepaid,243.8,5,12.19,4.1
124,Branch 3,Delhi,Subscriber,Women,Watches,29.78,7,8.34,227.25,26-08-21,19:52,COD,208.49,5,10.42,4.5
125,Branch 2,Noida,Subscriber,Women,Women Apparel,29.34,7,8.22,223.89,27-08-21,14:57,COD,205.4,5,10.27,7.2
126,Branch 1,Delhi,Subscriber,Women,Bags,26.1,6,6.26,170.7,28-08-21,18:44,COD,156.61,5,7.83,4.4
127,Branch 1,Faridabad,Non-Subscriber,Men,Men Footwear,36.28,4,5.81,158.2,29-08-21,13:26,COD,145.14,5,7.26,8.9
128,Branch 3,Bangalore,Non-Subscriber,Women,Women Apparel,63.86,8,20.44,556.9,30-08-21,16:17,COD,510.92,5,25.55,5.8
129,Branch 4,Chennai,Subscriber,Men,Watches,51.68,7,14.47,394.31,31-08-21,15:57,COD,361.75,5,18.09,8.4
130,Branch 2,Bangalore,Subscriber,Women,Watches,24.3,8,7.77,211.86,01-09-21,11:15,Prepaid,194.36,5,9.72,7.1
131,Branch 2,Bangalore,Subscriber,Women,Women Footwear,26.1,6,6.26,170.7,02-09-21,13:18,COD,156.61,5,7.83,7.4
132,Branch 1,Pune,Subscriber,Women,Women Apparel,33.83,5,6.77,184.39,03-09-21,20:34,Prepaid,169.17,5,8.46,8.2
133,Branch 2,Durgapur,Non-Subscriber,Men,Men Footwear,33.83,3,4.06,110.63,04-09-21,18:36,Prepaid,101.5,5,5.07,7.3
134,Branch 2,Delhi,Subscriber,Women,Bags,32.44,5,6.49,176.8,05-09-21,14:40,Prepaid,162.2,5,8.11,8.7
135,Branch 3,Delhi,Subscriber,Unisex,Bags,18.99,5,3.8,103.5,06-09-21,16:43,COD,94.95,5,4.75,5.2
136,Branch 3,Faridabad,Non-Subscriber,Men,Men Footwear,29.19,2,2.34,63.64,07-09-21,19:39,COD,58.39,5,2.92,6.1
137,Branch 1,Delhi,Non-Subscriber,Men,Men Footwear,21.62,4,3.46,94.28,08-09-21,20:59,COD,86.49,5,4.32,8.7
138,Branch 1,Delhi,Subscriber,Unisex,Sunglasses,33.09,5,6.62,180.34,09-09-21,15:39,COD,165.45,5,8.27,9.7
139,Branch 2,Bangalore,Non-Subscriber,Men,Men Footwear,24.92,9,8.97,244.5,10-09-21,12:21,COD,224.31,5,11.22,8.1
140,Branch 4,Chennai,Subscriber,Men,Watches,48.33,7,13.53,368.77,11-09-21,19:25,COD,338.32,5,16.92,9.1
141,Branch 3,Chennai,Subscriber,Men,Men Footwear,30.48,9,10.97,298.96,12-09-21,13:00,COD,274.28,5,13.71,5.3
142,Branch 3,Chennai,Subscriber,Men,Men Footwear,23.36,9,8.41,229.2,13-09-21,13:48,COD,210.28,5,10.51,8
143,Branch 3,Nagpur,Subscriber,Unisex,Furniture,24.72,9,8.9,242.52,14-09-21,19:57,Prepaid,222.5,5,11.12,9
144,Branch 3,Kolkata,Subscriber,Unisex,Sunglasses,24.72,1,0.99,26.95,15-09-21,10:36,Prepaid,24.72,5,1.24,8.3
145,Branch 1,Noida,Subscriber,Women,Watches,34.33,5,6.87,187.12,16-09-21,16:37,COD,171.67,5,8.58,7.9
146,Branch 3,Delhi,Subscriber,Unisex,Watches,29.84,5,5.97,162.62,17-09-21,17:11,COD,149.19,5,7.46,9.4
147,Branch 1,Gurgaon,Subscriber,Women,Bags,24.3,9,8.75,238.34,18-09-21,12:28,COD,218.66,5,10.93,9.1
148,Branch 3,Delhi,Non-Subscriber,Men,Men Footwear,30.13,3,3.62,98.52,19-09-21,12:46,COD,90.38,5,4.52,5.5
149,Branch 2,Panchkula,Subscriber,Men,Men Footwear,29.19,7,8.17,222.74,20-09-21,15:07,COD,204.35,5,10.22,6.1
150,Branch 1,Bangalore,Non-Subscriber,Men,Men Apparel,30.55,7,8.55,233.08,21-09-21,13:48,Prepaid,213.84,5,10.69,4.8
151,Branch 2,Bangalore,Subscriber,Women,Bags,33.57,3,4.03,109.76,22-09-21,19:20,Prepaid,100.7,5,5.04,4.7
152,Branch 3,Hyderabad,Subscriber,Men,Men Footwear,26.67,6,6.4,174.44,23-09-21,16:07,Prepaid,160.03,5,8,7.2
153,Branch 1,Cochin,Subscriber,Unisex,Sunglasses,32.11,8,10.28,280.03,24-09-21,11:56,COD,256.9,5,12.85,7.3
154,Branch 3,Jaipur,Non-Subscriber,Women,Women Apparel,51.68,5,10.34,281.65,25-09-21,18:23,Prepaid,258.39,5,12.92,9.8
155,Branch 3,Kolkata,Subscriber,Unisex,Sunglasses,36.86,7,10.32,281.24,26-09-21,13:05,Prepaid,258.02,5,12.9,9.2
156,Branch 1,Faridabad,Subscriber,Unisex,Sunglasses,38.94,4,6.23,169.78,27-09-21,15:55,COD,155.76,5,7.79,8.9
157,Branch 2,Faridabad,Subscriber,Men,Men Footwear,41.18,1,1.65,44.88,28-09-21,19:40,COD,41.18,5,2.06,6
158,Branch 2,Delhi,Non-Subscriber,Men,Men Footwear,32.44,4,5.19,141.44,29-09-21,13:58,Prepaid,129.76,5,6.49,9.6
159,Branch 2,Ghaziabad,Subscriber,Men,Men Footwear,32.11,8,10.28,280.03,30-09-21,14:43,COD,256.9,5,12.85,5.9
160,Branch 2,Delhi,Non-Subscriber,Men,Men Footwear,21.87,5,4.37,119.17,01-10-21,19:18,Prepaid,109.33,5,5.47,10
161,Branch 3,Bangalore,Non-Subscriber,Men,Men Footwear,30.13,7,8.44,229.87,02-10-21,19:39,COD,210.89,5,10.54,8.2
162,Branch 1,Bangalore,Subscriber,Women,Watches,37.11,1,1.48,40.45,03-10-21,16:21,COD,37.11,5,1.86,5.9
163,Branch 1,Chennai,Non-Subscriber,Men,Men Footwear,32.1,6,7.7,209.96,04-10-21,19:44,COD,192.62,5,9.63,6.9
164,Branch 3,Chennai,Non-Subscriber,Men,Men Footwear,25.94,1,1.04,28.28,05-10-21,19:42,Prepaid,25.94,5,1.3,6.4
165,Branch 2,Ahmedabad,Non-Subscriber,Women,Home,32.1,9,11.56,314.93,06-10-21,15:24,COD,288.93,5,14.45,5.8
166,Branch 2,Durgapur,Subscriber,Men,Men Footwear,32.1,7,8.99,244.95,07-10-21,14:12,COD,224.72,5,11.24,5.5
167,Branch 3,Kanpur,Subscriber,Women,Women Footwear,33.09,9,11.91,324.61,08-10-21,13:32,COD,297.81,5,14.89,4.7
168,Branch 1,Kanpur,Non-Subscriber,Men,Men Footwear,29.19,9,10.51,286.39,09-10-21,16:20,COD,262.74,5,13.14,8.6
169,Branch 1,Delhi,Non-Subscriber,Women,Women Apparel,32.99,5,6.6,179.82,10-10-21,16:31,Prepaid,164.97,5,8.25,6.4
170,Branch 1,Gurgaon,Subscriber,Women,Watches,30.17,6,7.24,197.31,11-10-21,15:10,COD,181.02,5,9.05,8.4
171,Branch 1,Delhi,Subscriber,Women,Bags,31.7,4,5.07,138.22,12-10-21,11:36,COD,126.8,5,6.34,5.4
172,Branch 2,Chennai,Subscriber,Men,Sports Equipment,33.66,4,5.39,146.76,13-10-21,12:45,COD,134.64,5,6.73,9.3
173,Branch 3,Coimbatore,Subscriber,Unisex,Sunglasses,33.09,7,9.27,252.48,14-10-21,19:17,COD,231.63,5,11.58,6.2
174,Branch 4,Chennai,Subscriber,Men,Watches,33.57,5,6.71,182.94,15-10-21,17:34,Prepaid,167.83,5,8.39,9.7
175,Branch 2,Hyderabad,Subscriber,Women,Watches,24.3,7,6.8,185.37,16-10-21,12:04,Prepaid,170.07,5,8.5,8.6
176,Branch 1,Ahmedabad,Subscriber,Men,Men Footwear,38.97,8,12.47,339.82,17-10-21,16:21,COD,311.76,5,15.59,8.7
177,Branch 4,Kolkata,Subscriber,Men,Watches,48.33,7,13.53,368.77,18-10-21,17:01,Prepaid,338.32,5,16.92,9.5
178,Branch 3,Ambala,Non-Subscriber,Men,Men Footwear,30.06,6,7.21,196.59,19-10-21,10:50,Prepaid,180.36,5,9.02,4.7
179,Branch 1,Delhi,Subscriber,Women,Watches,29.11,5,5.82,158.67,20-10-21,19:16,COD,145.57,5,7.28,4.3
180,Branch 3,Chandigarh,Subscriber,Men,Men Footwear,34.33,2,2.75,74.85,21-10-21,16:47,Prepaid,68.67,5,3.43,9.8
181,Branch 4,Lucknow,Subscriber,Men,Watches,39.46,6,9.47,258.06,22-10-21,10:00,Prepaid,236.75,5,11.84,5.6
182,Branch 3,Delhi,Subscriber,Unisex,Furniture,38.22,7,10.7,291.65,23-10-21,11:51,Prepaid,267.57,5,13.38,7.6
183,Branch 1,Cochin,Subscriber,Men,Men Footwear,25.94,9,9.34,254.48,24-10-21,10:55,COD,233.47,5,11.67,7.9
184,Branch 3,Chennai,Non-Subscriber,Men,Men Footwear,29.19,7,8.17,222.74,25-10-21,15:00,COD,204.35,5,10.22,5.6
185,Branch 1,Chennai,Non-Subscriber,Men,Men Footwear,37.11,6,8.91,242.71,26-10-21,11:19,COD,222.67,5,11.13,6.6
186,Branch 2,Hyderabad,Subscriber,Women,Bags,38.94,2,3.12,84.89,27-10-21,19:46,COD,77.88,5,3.89,7.9
187,Branch 2,Pune,Subscriber,Men,Men Footwear,36.28,7,10.16,276.85,28-10-21,19:00,Prepaid,253.99,5,12.7,7.4
188,Branch 4,Kolkata,Subscriber,Men,Watches,33.57,3,4.03,109.76,29-10-21,10:53,Prepaid,100.7,5,5.04,6.9
189,Branch 1,Delhi,Non-Subscriber,Men,Men Footwear,26.67,1,1.07,29.07,30-10-21,12:50,Prepaid,26.67,5,1.33,9.8
190,Branch 3,Delhi,Non-Subscriber,Men,Men Footwear,25.9,3,3.11,84.68,31-10-21,20:50,Prepaid,77.69,5,3.88,5.8
191,Branch 2,Shimla,Non-Subscriber,Unisex,Sports Equipment,38.94,2,3.12,84.89,01-11-21,10:39,COD,77.88,5,3.89,7.1
192,Branch 2,Delhi,Subscriber,Women,Women Footwear,32.96,1,1.32,35.93,02-11-21,13:41,COD,32.96,5,1.65,4.5
193,Branch 3,Delhi,Subscriber,Unisex,Watches,29.78,8,9.53,259.72,03-11-21,19:08,COD,238.27,5,11.91,9.1
